loss,status,sharpe,sortino,atr_period,min_signal_probability,price_state_threshold,sequence_length,sl_multiplier,tp_multiplier,trend_period_sma,volume_high_multiplier,volume_low_multiplier,profit_factor,total_profit,sharpe_ratio,win_rate,sortino_ratio
-2.5928184762297244,ok,2.5928184762297244,376.31753842537756,19,0.6319358585070564,0.7659820888283867,8,3.254448082932436,1.8370175583063275,150,2.381929454822722,0.7524079018504368,1.467607788161222,192760.312349733,2.5928184762297244,0.7676131311229231,376.31753842537756
-2.5493793149855932,ok,2.5493793149855932,201.90601091561908,16,0.639920671662205,0.7227465346196111,7,3.1932801073380257,1.9430430084003916,160,2.392909044020034,0.7480030352172891,1.8847382138544966,234398.4968155881,2.5493793149855932,0.7564263256123721,201.90601091561908
-2.3779304778280648,ok,2.3779304778280648,216.0589793854274,20,0.6356496176473793,0.8019256187630118,7,3.2201523632342366,1.7972346279385,160,2.3906385748600703,0.7476400975461471,1.980909454484506,202492.64235302535,2.3779304778280648,0.7097949853763806,216.0589793854274
-2.3454127908360576,ok,2.3454127908360576,374.83340003506345,19,0.635433052379192,0.8040691108435903,8,3.309405616327867,2.03860267523222,150,2.4176255879267994,0.7513164989459206,1.714237305537879,255226.97968850346,2.3454127908360576,0.724911490318467,374.83340003506345
-2.313178502509807,ok,2.313178502509807,263.79893645567995,14,0.6529202904114648,0.7521954397836863,8,3.1851779154117743,1.7092235760917114,190,2.3040982787656317,0.751709758214196,6.598694420464918,174256.2440796995,2.313178502509807,0.7625874347042491,263.79893645567995
-2.308042638331338,ok,2.308042638331338,304.2981956511079,19,0.6657153920616893,0.7623283313812421,8,3.2773053650986155,2.0284921187226415,150,2.3901508133843166,0.7435012268565836,105.2922305409183,203281.74178320426,2.308042638331338,0.755938021926394,304.2981956511079
-2.1931629441284866,ok,2.1931629441284866,156.94810590504326,13,0.6617387340899595,0.7256300204285571,8,3.3543664686250154,1.6864515891250336,200,2.4011357082041545,0.7490573520175543,1.3038675104619384,154550.5398180576,2.1931629441284866,0.73012086013202,156.94810590504326
-2.1456517344903188,ok,2.1456517344903188,225.21656600601872,20,0.6400263328600344,0.8031290943918696,7,3.0550008926456123,1.6971908159055837,160,2.4141772896966267,0.686995692825688,1.7302200941885408,156194.7211925741,2.1456517344903188,0.704397024164466,225.21656600601872
-2.120265848087696,ok,2.120265848087696,185.53889677147703,16,0.6526520252598863,0.7407305423334566,7,3.1482844740000826,1.87133491136616,160,2.3578912856643957,0.7339202662322778,1.3789824265065027,176085.92639426806,2.120265848087696,0.7428020945462807,185.53889677147703
-2.1075749924561435,ok,2.1075749924561435,209.76869440735436,18,0.6396037655803106,0.7996689241468491,8,3.464035224324355,1.9083252811689366,150,2.408915236872006,0.7634822101044003,6.534649350760365,107940.11898625654,2.1075749924561435,0.7631699958388344,209.76869440735436
-2.0761705264874624,ok,2.0761705264874624,135.3352927940887,15,0.6341725646518926,0.7007404212850503,7,3.4708006162262626,1.9610766260642953,150,2.6761987030692076,0.811180406191238,1.313657562272964,126600.63494543503,2.0761705264874624,0.7223418212654299,135.3352927940887
-2.049613015448534,ok,2.049613015448534,105.29740768196008,19,0.6675123833766627,0.7378505658963848,7,3.125958692673665,1.7522210707734724,160,2.4447210077493966,0.728378383079066,0.930853238600786,50451.336616771034,2.049613015448534,0.5548323769254002,105.29740768196008
-1.998925820826045,ok,1.998925820826045,433.7937542509835,14,0.6540177034081828,0.7927516789711495,8,3.464017255775461,1.9382624701938034,200,2.4100988624670827,0.7513882349838963,1.5751653628276605,235833.2173852431,1.998925820826045,0.74424812913185,433.7937542509835
-1.976720269140861,ok,1.976720269140861,74.31516247875697,14,0.6367258941813838,0.7173564220461673,8,3.4185117103875404,1.6122894700373136,200,2.4996181555858183,0.8063238976101057,23.083878219627913,90080.09379515125,1.976720269140861,0.7690274082202947,74.31516247875697
-1.974225901403701,ok,1.974225901403701,428.3056243840585,17,0.6342831077204136,0.7723340670489631,8,3.3928600975411447,1.800876672135873,160,2.421125219903904,0.7500827169153915,73.96507096337268,282450.4312927323,1.974225901403701,0.7530981140762263,428.3056243840585
-1.9615164626281028,ok,1.9615164626281028,266.28992082681606,15,0.652780247749439,0.7005231694072758,7,3.2413936904309537,1.7451082417732882,150,2.47194255592989,0.7554353976456555,1.5729834566057397,194712.6955464293,1.9615164626281028,0.7460434913923286,266.28992082681606
-1.9488026460363226,ok,1.9488026460363226,117.48339533156451,19,0.6238148313791114,0.7243802954706121,7,3.1908786426858757,1.8126584995537376,150,2.9173809264975086,0.7392021235633909,109.12205818253096,131812.22169677378,1.9488026460363226,0.7568024151545831,117.48339533156451
-1.924517900628054,ok,1.924517900628054,131.8555993060853,16,0.6388115096575431,0.733164563240712,7,3.0994256292895397,1.9201310663031839,160,2.45655615634343,0.7643054610579869,7.777779700354796,208290.1815137884,1.924517900628054,0.7426245589036287,131.8555993060853
-1.9191225404847285,ok,1.9191225404847285,187.14812030163418,19,0.6343371013300658,0.774245039032489,7,3.265988869119809,1.6442483057815809,150,2.4252058065864825,0.714516283623704,57.558920201010835,195907.37027946778,1.9191225404847285,0.7362246356774401,187.14812030163418
-1.9083659501089905,ok,1.9083659501089905,140.68274250453575,20,0.658956752778915,0.7504029472664434,7,3.22065384027848,1.622909400376521,160,2.453227692064032,0.7173164307324097,3.219109389171129,72584.33960361099,1.9083659501089905,0.6938478397267727,140.68274250453575
